INSTNM,CITY,STABBR
Medtech Institute,Falls Church,VA
Strayer University-District of Columbia,Washington,DC
National Conservatory of Dramatic Arts,Washington,DC
Trinity Washington University,Washington,DC
Wesley Theological Seminary,Washington,DC
Wyotech-Daytona,Ormond Beach,FL
The Art Institute of Fort Lauderdale,Fort Lauderdale,FL
Atlantic Technical College,Coconut Creek,FL
The Baptist College of Florida,Graceville,FL
Barry University,Miami,FL
Gooding Institute of Nurse Anesthesia,Panama City,FL
Bethune-Cookman University,Daytona Beach,FL
Lynn University,Boca Raton,FL
GUTI The Premier Beauty & Wellness Academy,Bradenton,FL
Bradford-Union Technical Center,Starke,FL
Eastern Florida State College,Cocoa,FL
Broward College,Fort Lauderdale,FL
Fortis College-Winter Park,Winter Park,FL
Carlos Albizu University-Miami,Miami,FL
College of Central Florida,Ocala,FL
Johnson University Florida,Kissimmee,FL
University of Central Florida,Orlando,FL
Charlotte Technical Center,Port Charlotte,FL
Chipola College,Marianna,FL
Clearwater Christian College,Clearwater,FL
Lorenzo Walker Technical College,Naples,FL
Daytona State College,Daytona Beach,FL
South University-West Palm Beach,Royal Palm Beach,FL
Eckerd College,Saint Petersburg,FL
Florida SouthWestern State College,Fort Myers,FL
Edward Waters College,Jacksonville,FL
Embry-Riddle Aeronautical University-Daytona Beach,Daytona Beach,FL
Florida Agricultural and Mechanical University,Tallahassee,FL
Florida Atlantic University,Boca Raton,FL
Florida State College at Jacksonville,Jacksonville,FL
Flagler College-St Augustine,Saint Augustine,FL
Florida College,Temple Terrace,FL
Concorde Career Institute-Jacksonville,Jacksonville,FL
Concorde Career Institute-Miramar,Miramar,FL
Concorde Career Institute-Tampa,Tampa,FL
Adventist University of Health Sciences,Orlando,FL
Florida Institute of Technology,Melbourne,FL
Florida Institute of Ultrasound Inc,Pensacola,FL
Florida International University,Miami,FL
Florida Keys Community College,Key West,FL
Florida Memorial University,Miami Gardens,FL
Florida Career College-Miami,Miami,FL
Florida School of Massage,Gainesville,FL
Florida Southern College,Lakeland,FL
Florida State University,Tallahassee,FL
Florida Technical College,Orlando,FL
University of Southernmost Florida,Jacksonville,FL
University of Florida,Gainesville,FL
Everest University-Pompano Beach,Pompano Beach,FL
Fort Pierce Beauty Academy,Fort Pierce,FL
Full Sail University,Winter Park,FL
George Stone Technical Center,Pensacola,FL
George T Baker Aviation Technical College,Miami,FL
Gulf Coast State College,Panama City,FL
Key College,Dania Beach,FL
Hillsborough Community College,Tampa,FL
Hobe Sound Bible College,Hobe Sound,FL
Hollywood Institute of Beauty Careers,Hollywood,FL
Cortiva Institute-Florida,Pinellas Park,FL
Indian River State College,Fort Pierce,FL
Sanford-Brown College-Tampa,Tampa,FL
International Academy,South Daytona,FL
AI Miami International University of Art and Design,Miami,FL
ITT Technical Institute-Tampa,Tampa,FL
Jacksonville University,Jacksonville,FL
Jones College-Jacksonville,Jacksonville,FL
Keiser University-Ft Lauderdale,Fort Lauderdale,FL
Heritage Institute-Ft Myers,Fort Myers,FL
La Belle Beauty School,Hialeah,FL
Florida Gateway College,Lake City,FL
Lake Technical College,Eustis,FL
Lake-Sumter State College,Leesburg,FL
Fort Myers Technical College,Fort Myers,FL
Lively Technical Center,Tallahassee,FL
Lindsey Hopkins Technical College,Miami,FL
Loraines Academy & Spa,Saint Petersburg,FL
Luther Rice University & Seminary,Lithonia,GA
State College of Florida-Manatee-Sarasota,Bradenton,FL
Manatee Technical College,Bradenton,FL
Manhattan Hairstyling Academy,Tampa,FL
Traviss Career Center,Lakeland,FL
Merryfield School of Pet Grooming,Oakland Park,FL
Trinity International University-Florida,Davie,FL
Miami Lakes Educational Center and Technical College,Miami Lakes,FL
Miami Dade College,Miami,FL
University of Miami,Coral Gables,FL
Orange Technical College-Mid Florida Campus,Orlando,FL
Beauty Schools of America-Miami,Miami,FL
Remington College-Tampa Campus,Tampa,FL
Everest Institute-North Miami,Miami,FL
Academy of Palm Beach,Lake Worth,FL
Lincoln College of Technology-West Palm Beach,West Palm Beach,FL
Paul Mitchell the School-Jacksonville,Jacksonville,FL
North Florida Community College,Madison,FL
University of North Florida,Jacksonville,FL
Northwood University-Florida,West Palm Beach,FL
Nova Southeastern University,Fort Lauderdale,FL
Northwest Florida State College,Niceville,FL
Everest University-North Orlando,Orlando,FL
Orange Technical College-Orlando Campus,Orlando,FL
Palm Beach Atlantic University,West Palm Beach,FL
Palm Beach State College,Lake Worth,FL
Pasco-Hernando State College,New Port Richey,FL
Pensacola State College,Pensacola,FL
Pinellas Technical College-Clearwater,Clearwater,FL
Polk State College,Winter Haven,FL
Radford M Locklin Technical Center,Milton,FL
Saint Vincent de Paul Regional Seminary,Boynton Beach,FL
Ridge Career Center,Winter Haven,FL
Ringling College of Art and Design,Sarasota,FL
Robert Morgan Educational Center and Technical College,Miami,FL
Rollins College,Winter Park,FL
First Coast Technical College,Saint Augustine,FL
Saint Leo University,Saint Leo,FL
St Petersburg College,Clearwater,FL
Pinellas Technical College-St. Petersburg,Saint Petersburg,FL
Santa Fe College,Gainesville,FL
Suncoast Technical College,Sarasota,FL
Argosy University-Sarasota,Sarasota,FL
Seminole State College of Florida,Sanford,FL
Sheridan Technical College,Hollywood,FL
Saint John Vianney College Seminary,Miami,FL
Saint Johns River State College,Palatka,FL
South Florida State College,Avon Park,FL
University of South Florida-Main Campus,Tampa,FL
St Thomas University,Miami Gardens,FL
Stenotype Institute of Jacksonville Inc-Jacksonville,Jacksonville,FL
Stetson University,DeLand,FL
Southeastern University,Lakeland,FL
Benes International School of Beauty,New Port Richey,FL
RIVEROAK Technical College,Live Oak,FL
Tallahassee Community College,Tallahassee,FL
Talmudic College of Florida,Miami Beach,FL
Everest University-Tampa,Tampa,FL
Everest University-Largo,Largo,FL
The University of Tampa,Tampa,FL
Taylor Technical Institute,Perry,FL
Tom P Haney Technical Center,Panama City,FL
Trinity Baptist College,Jacksonville,FL
Trinity College of Florida,Trinity,FL
Fashion Focus Hair Academy,Sarasota,FL
Valencia College,Orlando,FL
Warner University,Lake Wales,FL
Florida Panhandle Technical College,Chipley,FL
Webber International University,Babson Park,FL
Rasmussen College-Florida,Ocala,FL
The University of West Florida,Pensacola,FL
Orange Technical College-Westside Campus,Winter Garden,FL
William T McFatter Technical College,Davie,FL
Orange Technical College-Winter Park Campus,Winter Park,FL
Withlacoochee Technical Institute,Inverness,FL
Abraham Baldwin Agricultural College,Tifton,GA
Agnes Scott College,Decatur,GA
Interactive College of Technology-Chamblee,Chamblee,GA
Interactive College of Technology-Morrow,Morrow,GA
Albany Technical College,Albany,GA
Darton State College,Albany,GA
Albany State University,Albany,GA
Andrew College,Cuthbert,GA
Armstrong State University,Savannah,GA
The Art Institute of Atlanta,Atlanta,GA
Georgia Career Institute,Conyers,GA
Atlanta Technical College,Atlanta,GA
Point University,West Point,GA
Atlanta Metropolitan State College,Atlanta,GA
Atlanta's John Marshall Law School,Atlanta,GA
Atlanta School of Massage,Atlanta,GA
Clark Atlanta University,Atlanta,GA
Augusta Technical College,Augusta,GA
Bainbridge State College,Bainbridge,GA
Bauder College,Atlanta,GA
Beauty College of America,Forest Park,GA
Berry College,Mount Berry,GA
Beulah Heights University,Atlanta,GA
Brenau University,Gainesville,GA
Brewton-Parker College,Mount Vernon,GA
Brown College of Court Reporting,Atlanta,GA
College of Coastal Georgia,Brunswick,GA
West Georgia Technical College,Waco,GA
Carver Bible College,Atlanta,GA
Clayton  State University,Morrow,GA
Columbia Theological Seminary,Decatur,GA
Columbus Technical College,Columbus,GA
Columbus State University,Columbus,GA
Georgia Northwestern Technical College,Rome,GA
Covenant College,Lookout Mountain,GA
Dalton State College,Dalton,GA
Pro Way Hair School,Stone Mountain,GA
South University-Savannah,Savannah,GA
East Georgia State College,Swainsboro,GA
Emmanuel College,Franklin Springs,GA
Emory University,Atlanta,GA
Georgia Highlands College,Rome,GA
Fort Valley State University,Fort Valley,GA
Grady Health System Professional Schools,Atlanta,GA
Georgia Institute of Technology-Main Campus,Atlanta,GA
Georgia Southwestern State University,Americus,GA
Georgia College and State University,Milledgeville,GA
Georgia Southern University,Statesboro,GA
Georgia State University,Atlanta,GA
University of Georgia,Athens,GA
Gordon State College,Barnesville,GA
Southern Crescent Technical College,Griffin,GA
Gupton Jones College of Funeral Service,Decatur,GA
Gwinnett College-Lilburn,Lilburn,GA
Gwinnett Technical College,Lawrenceville,GA
Interdenominational Theological Center,Atlanta,GA
Kennesaw State University,Kennesaw,GA
LaGrange College,Lagrange,GA
Lanier Technical College,Oakwood,GA
Life University,Marietta,GA
Chattahoochee Technical College,Marietta,GA
Herzing University-Atlanta,Atlanta,GA
Mercer University,Macon,GA
Morehouse College,Atlanta,GA
Morehouse School of Medicine,Atlanta,GA
Moultrie Technical College,Moultrie,GA
North Georgia Technical College,Clarkesville,GA
Oglethorpe University,Atlanta,GA
Paine College,Augusta,GA
Piedmont College,Demorest,GA
Portfolio Center,Atlanta,GA
Reinhardt University,Waleska,GA
Savannah Technical College,Savannah,GA
Savannah College of Art and Design,Savannah,GA
Savannah State University,Savannah,GA
Shorter University,Rome,GA
South Georgia Technical College,Americus,GA
The Creative Circus,Atlanta,GA
Spelman College,Atlanta,GA
Southern Polytechnic State University,Marietta,GA
Southwest Georgia Technical College,Thomasville,GA
Thomas University,Thomasville,GA
Toccoa Falls College,Toccoa Falls,GA
Truett-McConnell College,Cleveland,GA
Wiregrass Georgia Technical College,Valdosta,GA
Valdosta State University,Valdosta,GA
Wesleyan College,Macon,GA
University of West Georgia,Carrollton,GA
Young Harris College,Young Harris,GA
Heald College-Honolulu,Honolulu,HI
Chaminade University of Honolulu,Honolulu,HI
University of Hawaii at Hilo,Hilo,HI
University of Hawaii at Manoa,Honolulu,HI
Hawaii Institute of Hair Design,Honolulu,HI
Hawaii Pacific University,Honolulu,HI
Honolulu Community College,Honolulu,HI
Kapiolani Community College,Honolulu,HI
Kauai Community College,Lihue,HI
Leeward Community College,Pearl City,HI
University of Hawaii Maui College,Kahului,HI
Med-Assist School of Hawaii Inc,Honolulu,HI
World Medicine Institute,Honolulu,HI
Travel Institute of the Pacific,Honolulu,HI
University of Hawaii-West Oahu,Kapolei,HI
Windward Community College,Kaneohe,HI
Carrington College-Boise,Boise,ID
Boise Bible College,Boise,ID
Boise State University,Boise,ID
Eastern Idaho Technical College,Idaho Falls,ID
Idaho State University,Pocatello,ID
University of Idaho,Moscow,ID
The College of Idaho,Caldwell,ID
Lewis-Clark State College,Lewiston,ID
ITT Technical Institute-Boise,Boise,ID
Aveda Institute-Twin Falls,Twin Falls,ID
Mr Leon's School of Hair Design-Moscow,Moscow,ID
North Idaho College,Coeur d'Alene,ID
Northwest Nazarene University,Nampa,ID
The School of Hairstyling,Chubbuck,ID
Brigham Young University-Idaho,Rexburg,ID
College of Southern Idaho,Twin Falls,ID
Adler University,Chicago,IL
Alvareitas College of Cosmetology-Edwardsville,Edwardsville,IL
Alvareitas College of Cosmetology-Godfrey,Godfrey,IL
American Academy of Art,Chicago,IL
School of the Art Institute of Chicago,Chicago,IL
Augustana College,Rock Island,IL
Aurora University,Aurora,IL
Tricoci University of Beauty Culture-Urbana,Urbana,IL
Southwestern Illinois College,Belleville,IL
Bethany Theological Seminary,Richmond,IN
Black Hawk College,Moline,IL
Blackburn College,Carlinville,IL
Blessing Rieman College of Nursing,Quincy,IL
Blessing Hospital School of Radiologic Technology,Quincy,IL
Bradley University,Peoria,IL
Paul Mitchell the School-Bradley,Bourbonnais,IL
Cameo Beauty Academy,Oak Lawn,IL
Cannella School of Hair Design-Villa Park,Villa Park,IL
Cannella School of Hair Design-Chicago,Chicago,IL
Cannella School of Hair Design-Chicago,Chicago,IL
Cannella School of Hair Design-Elgin,Elgin,IL
Empire Beauty School-Hanover Park,Hanover Park,IL
Capri Beauty College,Oak Forest,IL
Carl Sandburg College,Galesburg,IL
Catholic Theological Union at Chicago,Chicago,IL
La James International College-East Moline,East Moline,IL
Midwestern University-Downers Grove,Downers Grove,IL
The Chicago School of Professional Psychology at Chicago,Chicago,IL
Chicago State University,Chicago,IL
Chicago Theological Seminary,Chicago,IL
University of Chicago,Chicago,IL
City Colleges of Chicago-Kennedy-King College,Chicago,IL
City Colleges of Chicago-Malcolm X College,Chicago,IL
City Colleges of Chicago-Olive-Harvey College,Chicago,IL
City Colleges of Chicago-Harry S Truman College,Chicago,IL
City Colleges of Chicago-Richard J Daley College,Chicago,IL
City Colleges of Chicago-Harold Washington College,Chicago,IL
City Colleges of Chicago-Wilbur Wright College,Chicago,IL
Columbia College-Chicago,Chicago,IL
Concordia University-Chicago,River Forest,IL
Le Cordon Bleu College of Culinary Arts-Chicago,Chicago,IL
Coyne College,Chicago,IL
Danville Area Community College,Danville,IL
Tricoci University of Beauty Culture-Danville,Danville,IL
DePaul University,Chicago,IL
Cosmetology & Spa Academy,Crystal Lake,IL
College of DuPage,Glen Ellyn,IL
East-West University,Chicago,IL
Eastern Illinois University,Charleston,IL
Elgin Community College,Elgin,IL
Elmhurst College,Elmhurst,IL
Eureka College,Eureka,IL
First Institute Inc,Crystal Lake,IL
Fox College,Bedford Park,IL
Garrett-Evangelical Theological Seminary,Evanston,IL
Gem City College,Quincy,IL
Governors State University,University Park,IL
Graham Hospital School of Nursing,Canton,IL
Greenville College,Greenville,IL
Hair Professionals Academy of Cosmetology,West Dundee,IL
Hair Professionals Career College,Sycamore,IL
Hair Professionals School of Cosmetology,Oswego,IL
Harrington College of Design,Chicago,IL
Hebrew Theological College,Skokie,IL
Highland Community College,Freeport,IL
Rosalind Franklin University of Medicine and Science,North Chicago,IL
University of Illinois at Chicago,Chicago,IL
Benedictine University,Lisle,IL
Illinois College of Optometry,Chicago,IL
University of Illinois at Urbana-Champaign,Champaign,IL
Illinois Wesleyan University,Bloomington,IL
Illinois Central College,East Peoria,IL
Illinois College,Jacksonville,IL
Olney Central College,Olney,IL
Illinois Institute of Technology,Chicago,IL
Argosy University-Chicago,Chicago,IL
Illinois State University,Normal,IL
Illinois Valley Community College,Oglesby,IL
Institute for Clinical Social Work,Chicago,IL
Sanford-Brown College-Chicago,Chicago,IL
John A Logan College,Carterville,IL
The John Marshall Law School,Chicago,IL
John Wood Community College,Quincy,IL
Joliet Junior College,Joliet,IL
Judson University,Elgin,IL
Kankakee Community College,Kankakee,IL
